"co_ano","co_mes","produtos","pais_origem","co_via","kg_liquido","vlr"
1998,3,"OutrosProd","Outros","07",443947301,432275298
1998,3,"OutrosProd","Outros","08",0,90110006
1998,3,"OutrosProd","Outros","09",1196053,6980116
1998,3,"OutrosProd","Russia","01",2133784,6981778
1998,3,"OutrosProd","Russia","04",3275,863130
1998,3,"OutrosProd","Russia","07",3700,19577
1998,3,"OutrosProd","Ucrania","01",1793389,627238
1998,3,"OutrosProd","Ucrania","04",2,1060
1998,3,"OutrosProd","Ucrania","07",380,1481
1998,3,"Petroleo","Outros","01",1776812128,261432750
1998,3,"Petroleo","Outros","02",4435590,199602
1998,3,"Petroleo","Outros","04",32557,112250
1998,3,"Petroleo","Outros","07",2506112,1050779
1998,4,"Fertilizantes","Outros","01",272131229,88180896
1998,4,"Fertilizantes","Outros","04",249580,5964503
1998,4,"Fertilizantes","Outros","05",0,91
1998,4,"Fertilizantes","Outros","07",2648978,3538236
1998,4,"Fertilizantes","Russia","01",37232111,4857096
1998,4,"Fertilizantes","Ucrania","01",6300000,538100
1998,4,"OutrosProd","Outros","01",4528466087,2692461266
1998,4,"OutrosProd","Outros","02",20878151,24131954
1998,4,"OutrosProd","Outros","03",4127870,454066
1998,4,"OutrosProd","Outros","04",17009391,1097186952
1998,4,"OutrosProd","Outros","05",5740,621512
1998,4,"OutrosProd","Outros","06",23576153,8248594
1998,4,"OutrosProd","Outros","07",480158829,406946712
1998,4,"OutrosProd","Outros","08",0,89607065
1998,4,"OutrosProd","Outros","09",802118,31274972
1998,4,"OutrosProd","Russia","01",13611439,9605537
1998,4,"OutrosProd","Russia","04",1108,1098344
1998,4,"OutrosProd","Ucrania","01",170959,186979
1998,4,"OutrosProd","Ucrania","04",170,2020
1998,4,"Petroleo","Outros","01",1763410132,238878203
1998,4,"Petroleo","Outros","04",23757,116381
1998,4,"Petroleo","Outros","07",2577764,1198322
1998,5,"Fertilizantes","Outros","01",347911156,94658534
1998,5,"Fertilizantes","Outros","04",254859,7098756
1998,5,"Fertilizantes","Outros","07",2948674,3001315
1998,5,"Fertilizantes","Russia","01",120033413,14633516
1998,5,"Fertilizantes","Ucrania","01",11619010,2265809
1998,5,"OutrosProd","Outros","01",4943494222,2766374511
1998,5,"OutrosProd","Outros","02",9775147,5857446
1998,5,"OutrosProd","Outros","03",2966750,725133
1998,5,"OutrosProd","Outros","04",17752789,1161127946
1998,5,"OutrosProd","Outros","05",5325,1097346
1998,5,"OutrosProd","Outros","06",29063770,10507577
1998,5,"OutrosProd","Outros","07",469459543,401667710
1998,5,"OutrosProd","Outros","08",0,89813845
1998,5,"OutrosProd","Outros","09",1225302,13619680
1998,5,"OutrosProd","Russia","01",1201597,3915845
1998,5,"OutrosProd","Russia","04",2523,210412
1998,5,"OutrosProd","Ucrania","01",133248,382266
1998,5,"OutrosProd","Ucrania","04",98,2650
1998,5,"Petroleo","Outros","01",1676665646,236372857
1998,5,"Petroleo","Outros","04",9808,68631
1998,5,"Petroleo","Outros","07",1758685,803309
1998,6,"Fertilizantes","Outros","01",583441904,136177041
1998,6,"Fertilizantes","Outros","04",249661,5665633
1998,6,"Fertilizantes","Outros","07",3159074,3591248
1998,6,"Fertilizantes","Russia","01",144488489,19666068
1998,6,"Fertilizantes","Ucrania","01",22583050,4914937
1998,6,"OutrosProd","Outros","01",4966690665,2766697217
1998,6,"OutrosProd","Outros","02",16850000,2068400
1998,6,"OutrosProd","Outros","04",18089634,1105316197
1998,6,"OutrosProd","Outros","05",6766,931659
1998,6,"OutrosProd","Outros","06",33588741,13041673
1998,6,"OutrosProd","Outros","07",493741762,436969938
1998,6,"OutrosProd","Outros","08",0,90390170
1998,6,"OutrosProd","Outros","09",1278009,5119252
1998,6,"OutrosProd","Russia","01",34436042,11706512
1998,6,"OutrosProd","Russia","04",224,962353
1998,6,"OutrosProd","Ucrania","01",30561,148464
1998,6,"OutrosProd","Ucrania","04",146,4376
1998,6,"Petroleo","Outros","01",1341467802,173319501
1998,6,"Petroleo","Outros","04",41588,179355
1998,6,"Petroleo","Outros","07",1254957,726259
1998,7,"Fertilizantes","Outros","01",593768743,147774036
1998,7,"Fertilizantes","Outros","04",253697,5213742
1998,7,"Fertilizantes","Outros","05",9,2127
1998,7,"Fertilizantes","Outros","06",400000,95536
1998,7,"Fertilizantes","Outros","07",3923663,4614277
1998,7,"Fertilizantes","Russia","01",154778844,25467401
1998,7,"Fertilizantes","Ucrania","01",298360,33715
1998,7,"OutrosProd","Outros","01",5463889956,3133073348
1998,7,"OutrosProd","Outros","02",356041,290842
1998,7,"OutrosProd","Outros","04",19125874,1380002850
1998,7,"OutrosProd","Outros","05",6821,806953
1998,7,"OutrosProd","Outros","06",31772531,12204518
1998,7,"OutrosProd","Outros","07",533305848,452853353
1998,7,"OutrosProd","Outros","08",0,90203394
1998,7,"OutrosProd","Outros","09",596706,4362610
1998,7,"OutrosProd","Russia","01",14264086,6095702
1998,7,"OutrosProd","Russia","04",1275,258283
1998,7,"OutrosProd","Ucrania","01",439323,792658
1998,7,"OutrosProd","Ucrania","04",351,9050
1998,7,"OutrosProd","Ucrania","07",21140,111997
1998,7,"Petroleo","Outros","01",1885065637,213532306
1998,7,"Petroleo","Outros","04",41398,198179
1998,7,"Petroleo","Outros","07",2275202,1075388
1998,8,"Fertilizantes","Outros","01",531906703,108710150
1998,8,"Fertilizantes","Outros","04",169733,3251452
1998,8,"Fertilizantes","Outros","05",4,261
1998,8,"Fertilizantes","Outros","07",2771289,4060612
1998,8,"Fertilizantes","Russia","01",187321529,27156568
1998,8,"Fertilizantes","Ucrania","01",20625463,3308060
1998,8,"OutrosProd","Outros","01",4374723676,2569623761
1998,8,"OutrosProd","Outros","02",856200,669984
1998,8,"OutrosProd","Outros","03",2420000,229900
1998,8,"OutrosProd","Outros","04",13370370,884343514
1998,8,"OutrosProd","Outros","05",6990,1361896
1998,8,"OutrosProd","Outros","06",28643807,10005587
1998,8,"OutrosProd","Outros","07",385189135,386045514
1998,8,"OutrosProd","Outros","08",0,90090964
1998,8,"OutrosProd","Outros","09",233884,5714214
1998,8,"OutrosProd","Russia","01",23498590,9749250
1998,8,"OutrosProd","Russia","04",128,46675
1998,8,"OutrosProd","Ucrania","01",18889192,2795979
1998,8,"OutrosProd","Ucrania","04",296,2800
1998,8,"Petroleo","Outros","01",1048118070,124455819
1998,8,"Petroleo","Outros","04",12870,118670
1998,8,"Petroleo","Outros","05",3,31
1998,8,"Petroleo","Outros","07",1800076,965316
1998,9,"Fertilizantes","Outros","01",495545547,121961371
1998,9,"Fertilizantes","Outros","04",254014,5663797
1998,9,"Fertilizantes","Outros","05",45,2270
1998,9,"Fertilizantes","Outros","06",1000000,194000
1998,9,"Fertilizantes","Outros","07",4622623,4765624
1998,9,"Fertilizantes","Russia","01",221212158,35006916
1998,9,"Fertilizantes","Ucrania","01",68532800,9336241
1998,9,"OutrosProd","Outros","01",6002454307,3602844421
1998,9,"OutrosProd","Outros","02",819600,616758
1998,9,"OutrosProd","Outros","03",2450000,232750
1998,9,"OutrosProd","Outros","04",20546568,1273341632
1998,9,"OutrosProd","Outros","05",5995,941292
1998,9,"OutrosProd","Outros","06",30801855,12037624
1998,9,"OutrosProd","Outros","07",454002286,427495551
1998,9,"OutrosProd","Outros","08",0,89381580
1998,9,"OutrosProd","Outros","09",538984,3777861
1998,9,"OutrosProd","Russia","01",3076676,3849673
1998,9,"OutrosProd","Russia","04",277,40418
1998,9,"OutrosProd","Ucrania","01",12457195,3826207
1998,9,"OutrosProd","Ucrania","04",136,1275
1998,9,"OutrosProd","Ucrania","07",36167,136698
1998,9,"Petroleo","Outros","01",1916154454,213442435
1998,9,"Petroleo","Outros","04",33948,234621
1998,9,"Petroleo","Outros","07",2270712,1097728
1998,10,"Fertilizantes","Outros","01",532878143,129300818
1998,10,"Fertilizantes","Outros","04",255071,4759792
1998,10,"Fertilizantes","Outros","05",11,1468
1998,10,"Fertilizantes","Outros","06",280000,61360
1998,10,"Fertilizantes","Outros","07",4506760,4429774
1998,10,"Fertilizantes","Russia","01",177938655,24815174
1998,10,"Fertilizantes","Russia","04",2,101
1998,10,"Fertilizantes","Ucrania","01",80419744,12018263
1998,10,"OutrosProd","Outros","01",5450547374,3313113507
1998,10,"OutrosProd","Outros","02",691100,522462
1998,10,"OutrosProd","Outros","04",19225227,1352010587
1998,10,"OutrosProd","Outros","05",6219,1004193
1998,10,"OutrosProd","Outros","06",29537340,12670376
1998,10,"OutrosProd","Outros","07",407411366,386556695
1998,10,"OutrosProd","Outros","08",0,89557971
1998,10,"OutrosProd","Outros","09",224190,5526904
1998,10,"OutrosProd","Russia","01",16964796,6993641
1998,10,"OutrosProd","Russia","04",895,55603
1998,10,"OutrosProd","Ucrania","01",34934311,4596121
1998,10,"OutrosProd","Ucrania","04",213,1898
1998,10,"OutrosProd","Ucrania","07",17865,64028
1998,10,"Petroleo","Outros","01",1550962310,181414630
1998,10,"Petroleo","Outros","04",29123,188433
1998,10,"Petroleo","Outros","07",2274478,1172563
1998,11,"Fertilizantes","Outros","01",572531236,119566322
1998,11,"Fertilizantes","Outros","04",256443,4407284
1998,11,"Fertilizantes","Outros","05",125,7383
1998,11,"Fertilizantes","Outros","07",5082509,4037879
1998,11,"Fertilizantes","Russia","01",147568125,21295520
1998,11,"Fertilizantes","Ucrania","01",43764775,5276282
1998,11,"OutrosProd","Outros","01",4932734728,2700528605
1998,11,"OutrosProd","Outros","02",7748507,1068743
1998,11,"OutrosProd","Outros","04",17362403,1379729097
1998,11,"OutrosProd","Outros","05",6638,807009
1998,11,"OutrosProd","Outros","06",16789093,7226099
1998,11,"OutrosProd","Outros","07",344620351,342285833
1998,11,"OutrosProd","Outros","08",0,89848520
1998,11,"OutrosProd","Outros","09",702524,3065156
1998,11,"OutrosProd","Russia","01",2094073,3098300
1998,11,"OutrosProd","Russia","04",2041,1442316
1998,11,"OutrosProd","Ucrania","01",5063176,1078701
1998,11,"OutrosProd","Ucrania","07",23220,103218
1998,11,"Petroleo","Outros","01",1100958644,126250411
1998,11,"Petroleo","Outros","02",4833346,246501
1998,11,"Petroleo","Outros","04",27407,128254
1998,11,"Petroleo","Outros","07",1771644,953718
1998,12,"Fertilizantes","Outros","01",459771674,113745178
1998,12,"Fertilizantes","Outros","04",180178,4052541
